Insult,Comment
0,"""...yeah
0,"""Those trails will definitely get plowed regardless of the investigation. They'll just see it as easier to plow the area than deal with it. And once they got plowed I would never return or risk getting stopped and heavily questioned by the PO-PO's. \n\nP.S. - All the stupid comments are unnecessary. It's really easy to be cold and heartless and act like you don't give a fuck. But I'd like to see these anonymous commentators talk shit like that in front of this person's family or even their own Mother's. Grow up children and learn some respect."""
0,"""Suh had a sack the last time they played."""
0,"""and you are support argument a-hole....\n\nNot everyone games on their pc's either. \xa0Spec whores miss the point entirely.......\n\nI prefer the mac to my daily work. \xa0That beings said
1,"""You are a fucking dumb ass!.  Go back to you Xbox dickhead.  Grow up you little fanboy."""
0,"""you know what would be fun? If you guys talked crap back to us. more entertaining"""
0,"""@beeline @SidneyCatsby ...I'm assuming you are in school in the states."""
0,"""They should put all the gay and lesbians on an island\\xe2\\x80\\xa6\\xc2\\xa0 Oh wait there is Manhattan. """
0,"""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
1,"""Lets see your papers arealconservati.\n\nTill then shut the fuuk up sticky-chin."""
0,"""An interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion.\\xc2\\xa0 You all aren't victims of religious oppression.\\xc2\\xa0 You are the oppressors.\\xc2\\xa0 BTW
1,"""Correction Bitch! You don't think it's superb because your hating ass doesn't know talent..And Again I am still waiting on you to submit a video of you singing..Where is the youtube link? I am sure you will get all kinds of rave reviews lol"""
1,"""I think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg.   Go back to sleep
1,"""And you keep on your knees and keep telling yourself that is a sausage in your mouth.\xa0 And that is cream cheese you are swallowing."""
0,"""What was that
0,"""@Rourke needs to give me a fucking like\xa0\xa0@jwoude23\xa0hows everyone doin?"""
1,"""fuck you both"""
0,"""Powers
0,"""What horrible trades are you talking about?"""
1,"""and retards like you back to the institutions."""
0,"""weapons lol hes an idiot an waste of human space had it made and ruined it all"""
0,"""Not a big fan of Rondo
1,"""Pig Maher
0,"""It's not just the rich screaming about taxes.\xa0 It's the average middle class American who pays his/her taxes and doesn't see the benefit of those taxes (but instead sees waste).\xa0 I pay federal taxes
1,"""Mr. King isn't it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you."""
0,"""I'm amused by the fact that WeBlog cons drop any issue once it turns into a loser.\n\nThis is an expression of that amusement."""
0,"""Gabriel.\\xc2\\xa0 \\xc2\\xa0Getting time to blow that horn?"""
0,"""Exactly. Like
0,"""Welfare queen into a whore
0,"""POLITICAL CORRECTNESS:\n\nPolitical Correctness is a doctrine
1,"""What an ass you are...funny I see a lot more of you ""nuts"" in cars then I ever have of pilots in panes..."""
1,"""You can take international law and\xa0 shove it. You are such a schmuck
0,"""Blown is  a little pissy after he applied for a union job and was turned down.  He is just another good republican minion spreading today's message."""
0,"""If you dont have a teleport and air-mix ups ""you are nothing to me"""""
0,"""stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours.. u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period"""
0,"""robert moroni you fuckin dimwit
1,"""The most evil
0,"""Oops! \xa0How embarrassing (for me)... you are right People1st... I bow to the superior movie intellect of your son :)"""
0,"""If you throw trash out your window
0,"""Once more we see where the soft immigration policy has let the citizens down.... I bet they come from a family who have less education than a retarded hampster yet were given a nice new life in Britain... Reap what you sow...."""
0,"""Nope. Not working for me either.32-23-34www.facebook.com/annagillmodel\\n\\n \\n\\nYou have my email! :) """
0,"""That jump shooting bit gets old.  When you don't get calls on contact and get your shot thrown off you look for separation and you jump shoot.  Especially if you ain't big
0,"""""This was a tough loss for us
1,"""You're a complete and utter moron."""
1,"""Your still a loser
0,"""The ignorance here is astounding. Clearly it says in the video that Cleveland was ALREADY convicted of rape and is serving jail time for it. He\\'s GUILTY. She WAS RAPED!! (for all of the morons who\\'ve said ugly statements about her or attacked the veracity of her story) The only determination that this court is trying to make is whether Cash Money should be held liable. I think it\\'s reasonable that when you invite someone to make a professional presentation at YOUR company that YOU provide necessary protections for that individual. I don\\'t care whether Cleveland was employed or just ""a hanger-on"" a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with Baby and Slim\\'s knowledge and permission. If you went to a store and were attacked by an employee or a ""friend of the boss"" (who was permitted to hang around premises)
0,"""Fuck hard
0,"""@Axlrodes\xa0Were you here for the Wide Receiver drama?"""
0,"""are you fucking kidding me no mirrors fuck you freesteam"""
1,"""Nothing was confirmed in the 19th century you moron. There was no modern medical science to prove ANYTHING. Dont try to quote from the same period of time that brought us the Spanish Inquisition. You are the lowest of the low
1,"""My best friend who is allergic to wheat
0,"""So not focusing on Boston vs Miami for a minute.... Who's the scarier opponent
1,"""floyd has a better knock out percentage than pacman you dumb fuuuuck"""
0,"""so wat have u bn doing all along if u want to train them nw.we thot yo presence must strengthen the strike force bt proving otherws.shame!!!!!!!!!!!!!!!!!!!"""
0,"""The Dean of Mean is a typical Tory who believes there's one law for him and another one for everyone else.\nBig Steve better get around to firing everyone at Elections Canada and replacing them with Tory hacks before they really get into what the Tories did in the 2011 campaign."""
0,"""Oh fab - we have a tennis player who has a sense of humour and who can smile. Mr Murray please note. Mind you he has left it too late to cheer up. Misery guts"""
0,"""You are repeating yourself
1,"""You are one sick puppy."""
0,"""Very true
0,"""so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga"""
1,"""Can I say dick on here?\nYour a dick."""
0,"""@niemerg1 Right.\xa0 Never said it was fool proof tho."""
0,"""The wonders of PLASTIC SURGERY <3"""
0,"""Ron Paul / Cynthia Mckinney 2012\nThe all Wacko ticket!\nCalling all Paul sheep to the barn for your daily feeding. Don't forget your wallet!"""
0,"""go on move to hollywood
1,"""The way this fucking hoodrat is standing in that picture is boiling my blood. I'd like to meet this cunt in an alley for a few minutes. Selfish fucking twat."""
0,"""hahaha today a group of Argentine veterans from the Falklands war beat the crap out of a senator of the peronist party
0,"""We afford what we HAVE to afford
0,"""Hey moron ""buttons1994""
0,"""and like it matters
0,"""Should have hung for what he did
0,"""@Childerz\xa0\xa0@koosh12684\xa0\xa0@jwoude23\xa0\xa0@welfarecheese\xa0\xa0@SDL\xa0\xa0@Nonstopdrivel\xa0\n\xa0\nRight on. As long as we are both open and honest about how we come to our own conclusions
0,"""they are pecking him to death he gives up ugly runs"""
0,"""@Blaine Jungwirth definitely thought that only deserved a 2
0,"""I can't trend I'm on my iPod touch"""
0,"""This was the JOINT back in the day!\n\nAnd am I the only one who thought Gregory looked like he could be Philip Michael Thomas' brother?  LOL"""
1,"""How old are u 12? \n\nKnicks fan BEEYATCH!!!\n\nNot a Melo ball licker!!!"""
0,"""Anything better than the Grover Norquist
1,"""BITCH NIGGA YOU NEED AN EYE EXAM
0,"""Are you attempting to be kinky here?\xa0 You have some kind of fetish?"""
0,"""You get the gold star!The best post I've seen on here in months!!Hilarious...Great job
0,"""How old are you?"""
1,"""Nothing worse then a idi0t who smugs because of who he is
1,"""You're a child rapist in NY. You have admitted it MANY times you sick fuck! You have no room to talk."""
0,"""@J.O. \xa0 The man was a genius."""
1,"""Anti American piece of-shit you are"""
1,"""Have you be sipping at th e sacramental wine again?\n\nYou really are a dense little dude."""
0,"""Yes but remember - the government is listening to the views of the owner of Wonga.\n\nWonga will loan your business\xa0money (at astonomical rates)"""
0,"""The tirade isn't what people caused people to dislike her.  Read her comments.  Like this one
0,"""Stacy C. is right - Dumbama and his fat-ass wife and their cronies have created this atmosphere of govt. interference and what they feel govt entities should be doing.\\xc2\\xa0 Schools and others take their cues from the top down
0,"""GALLUP DAILY\nMay 24-26
0,"""This is someone whose self-importance got the best of him. If anyone should be fired it would be Tate. This kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand."""
0,"""Don't stand on your porch."""
0,"""camp has got to come in here and get this guy. this is where you earn your money."""
0,"""You could not be more wrong. The American Tea Party stands for limited government. Fiscal responsibility
0,"""Because that is how they get their rocks off. Our government is run by pedophiles who sexually torture children."""
0,"""He actually said ""what a spoiled bitch I am"".\xa0 I never hated Colton the way most of the posters did
0,"""With inbreeds being the longest running malcontents."""
0,"""Quote from Teresa May ""That is why we have been trying to deport him to Jordan
0,"""@nilbymouth \\n\\nYou are right concerning Campbell.  My bad.  The QB carosel has me mixed up.  Anyways
0,"""I'll like your comment too if it makes you feel better."""
0,"""Why didn't Obama go to Wisconsin and urge the Republicans to abandon their own America form of austerity?"""
0,"""If they deleted his post
0,"""What the hell are you talking about?"""
0,"""people dancing
0,"""This is so American. Load of utter 'positive people makes positive lives' fake christian bullshit.\xa0\n\nPut it this way
0,"""You're one of my favorite commenters."""
0,"""dude
1,"""Howe does it feel to be a Freedom Leech parasite?"""
0,""".........And all the arseanal fans silently weep into their hankies!!\\n\\nThere's nothing to see here
0,"""Yes  you have to have comedy in your life"""
1,"""Moron
0,"""""When Is Bush going to be asked to campaign for Romney. When he does I'll buy you a dinner. I wonder why Bush is NOT  wanted.""\n\nThe BETTER question is why a SITTING PRESIDENT LIKE OBAMA IS NOT WANTED!\n\nNotice he did 7 fundraisers the weekend before the vote all around WIsc. NEVER stopped in WISC.\n\nNotice NO ONE wants his help campaigning?"""
0,"""wait till a raptor grabs it in mid air.bad days man."""
0,"""Have you ever given him props or at least not dissed him out on any thread? I'm not a fan of his movies either but that don't mean I start talking shit on every fucking post.."""
0,"""@big_o_other That dynamic has been clear since the teabaggers threw their first tantrum in January of 2009 and Rush declared that he wanted the president to fail.\\\\n\\\\n \\\\n\\\\nThey want the economy to suck. They NEED the economy to suck. This explains their otherwise puzzling legislative choices over the past three years."""
1,"""You are stuck on stupid obviously...give me a break and don't vote.\nmoron"""
0,"""This man's drunk as fuck
1,"""who told you that....stupid ask yourself who kick his daughter out of the house at the age 16.....when it's comes protecting weaman you guys the last ppl on earth who can open their mounths.."""
0,"""@Lets_Go_West\xa0try big 100\nthey are dope"""
1,"""Ight ima get in on you mr. Army man or w.e. the fuck you are. I have family fighting on battle field right now atleast 20 members are all juggalos. Just like me you little ick sucking divk whipped bitch. If you have the time to sit here and talk shit about family then you obviously aren't doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy."""
0,"""You are so correct...the red sox are the worst team."""
0,"""Headlines going to be in a few months
0,"""i didn't watch game so this morning watched sky see what fuss was about
1,"""Are you retarded? You think Iraq & Afghan were avenging deaths? Lol.. get yourself checked buddy.. even bush would laugh at you...\n\nThere is a reason why we are proud of India.. cuz we are not like US or Israel who will or can go to war at the drop of a hat.. on the long run even that is proving costly to them..\xa0\n\nSo wake up.. We are talking about Music here not War.. you dumb moron"""
0,"""No matter how great your body looks
1,"""piiisii ... apparently knows nothing about cold facts\n\nRepublican Trolls make us all sick with their non factual crap\n\nYou can cry until 2016 ... your lies mean nothing to intelligent people"""
0,"""The bad part of the story is the dumb redneck Republicans
1,"""You as stupid as you were yesterday."""
0,"""""I may never see the light of day again"".....He should NEVER see the light of day again! Twisted beyond belief. You couldn\\'t do what he did to a dog
1,"""There are a lot of morons posting on this site but you are in a class all by yourself."""
1,"""You are a Moron."""
0,"""How the fuck do you have Orange Beef but not Orange chicken?"""
1,"""suck my dick yeaah babby pussy"""
1,"""Autumn..... You are
0,"""Eli MAnning
0,"""if she won't sleep with you
0,"""Holder and Obama will be hit back from all directions and 1000 times as hard. Dozens inside the DOJ and the WH who have dignity and patriotism will turn on them both like rabid dogs. This administration is goind down and right into federal prison. Nothing can stop it now. Nothing at all. The people are pissed off and out for heads.\n\nHolder = Peice of Shit\n\nObama = Fucked Up Sociopath"""
0,"""SO IS A SKUNK HALF BLACK AND HALF WHITE AND THEY BOTH STINK. WHY DO B L A C K PEOPLE STINK
0,"""I wonder if that'd stand up in court. ""He might have killed someone
0,"""They're not. The PG proposal is a list of people who have committed crimes with a gun. Not a way to register guns. (is no one else\xa0disturbed\xa0by the idea of the government maintaining lists of people they don't like. Cue '""you know who else had lists of people they don't like"" jokes in 3..2...)"""
0,"""@David @Cyberduckie You know
1,"""That's because you're a nobody."""
0,"""The Korem foundation will never see another dollar from me."""
0,"""I just did it
0,"""I could be as effective (ineffective) as Huff."""
1,"""Yo this my nigga right here! my n my boi lil b fuck bitches on the regular
0,"""oh hey
0,"""\\xc2\\xa0""It means the world isn\\'t changing
0,"""OMG! Are you a VS Girl also????!!!\n\nDid you hit up the semi annual sale? I went fucking crazy!!"""
1,"""You are incredibly stupid...."""
0,"""@SlipResistantShoes\xa0In a few years
0,"""I like you aggie."""
0,"""obamawon due to the media not doing their jobs 
0,"""God bless you
0,"""HA. I'm glad you are Pena's girl
0,"""I am a moderate. I am fiscally conservative but am moderate on the social issues. The Republican Party is no longer the party of Goldwater
1,"""Why did you do that?"" ""Because you smell like dog poo. You're so stupid
0,"""The Democrats would sell out our young job seekers for a handful of illegal votes and a 50 cent tomato."""
0,"""pass on grass and pass on rainbows and wings"""
0,"""You wouldn't know a failed policy if it sent you and all your neighbors to the poorhouse."""
0,"""""But Jack from Raleigh wasn't done. He came back with this bit of furious grammatical genius:""\n""Holy hell
0,"""Maybe Republicans can't use filibusters in Union votes to grind all decisions to a halt.\n\n60% is probably enough to win elections there."""
0,"""@Dan_tm@noBjustRyan a funny thing happened on the way to that forum
1,"""yeah I'm pathetic but your the idiot going around trolling other teams pages. Why don't you get f#$@ing life you little sh1thead."""
0,"""Ron Paul could start his own third party tomorrow and suck a large percentage of Democrats
0,"""We can tell by their mugshots who is Pinky and who is Brain...lol"""
1,"""ugly bitch go prostitute yourself so dat you can buy a big enough pant bottom to cover your gigantic ass """
0,"""If you want to lick Jewish ass
0,"""Agreed... you come on here to proclaim a useless point to who? the CNN community? Parasites that have nothing else better to do then trying to make a valid point to....who????"""
0,"""@SDL Unless that happened by chance..."""
0,"""Are you edge-triggered or level-triggered?"""
0,"""Nice smelling...er
0,"""How do you know?\n\nBesides who says everyone has to have Moral Standards based on my Gardener?"""
0,"""Too bad that wouldn't do anything about the gay American citizens found in all 49 other states."""
0,"""Mr Cagape
0,"""Yeah I know
0,"""""""You all
0,"""If you wrap your computer in foil you can stop them from taking your posts down."""
0,"""she is ugly so she would complain """
0,"""Operation DICS:\n\n'Distract Investors from Crashing Stock'"""
0,"""Actually the Packer still have the rights to Jolly."""
0,"""From your computer through their website."""
0,"""This is what I wore to the most recent wedding I attended
0,"""Pig noesed / no talent jack.. This guy should get the worst actor award every year."""
0,"""And the last day is upon us. Will I be the lucky one? Doubt it
0,"""Uh
0,"""come on Sweeney show us again man"""
0,"""Its going to be difficult to lose weight in 7 days. Honestly
1,"""You're a pussy ass punk."""
0,"""Apparently Hickson has said he will take the min to play with LeBron again.. Good bench player for the Heat."""
0,"""Simply terrible.\xa0 Cop should be fired."""
0,"""very sorry about robin
1,"""haha...atleast get your insults straight you idiot!!...."""
0,"""O' Neil ---\n\nHold your ground!!  Don't admit to\nsomething you did not do to satisfy an outward AGENDA by those who\nwant to conform to international racing for their own profit!  Yes
0,"""Hey Cameren
0,"""I stand corrected that was the memphis series but they beat the heat in 6
0,"""The guy is an idiot if he sticks his dick around without protection."""
0,"""Oh please
0,"""Well
1,"""I still dont see why half of you niggas click on every video that he post on wshh just to hate. If he so wack why the fuck you even click the video. #BASED"""
1,"""i bet you are a white devil or cracker"""
0,"""A Combination
0,"""Yep
0,"""Sounds like a medical condition."""
1,"""You are human garbage."""
0,"""I dont know about a high chance
0,"""Your little girl will probably look just like her :) lol"""
0,"""@hockeybelle\xa0he is so wrecked physically right now. \xa0THere's definitely something wrong with him. \xa0You can't really use the ""lazy"" excuse anymore because he was pretty great for most of the playoffs"""
1,"""We'll leave the fanaticism to morons like you
1,"""Can we have your address so that when you die we can all come and pay our respects
0,"""If only it could be your rectum
0,"""LOL....and he told them to go suck your man child messiah's big toe.....\\n\\n\\nLOL...."""
0,"""Finally? Where have you been the past few years? Phils played hurt in 2010 and 2011."""
0,"""That takes more strength than the father in the story would ever know. Much respect to you."""
0,"""....he should be punished in some way obiously
0,"""dcjohn: have you heard some of the white folks down in good ""ole"" louisiana speak? if you turn your backs you can not tell one from the other. it has to do with location and where you are born mostly. come to my state also
1,"""More people on here than you
0,"""Tabby\nJHay\nCutch\nEl Toro\nPgh Kid\nGFJ\nHit Collector\nCB\nGround Chuck"""
1,"""I think it clearly displays your lack of rational thought if you truly believe that."""
0,"""No we have no concept of sitting on your butt and waiting for a hand out"""
1,"""FACT.. YOU ARE A MORON"""
0,"""Just like the media has ventured to compare MAnu to Kobe
1,"""U dad already ashamed of u cuz he dnt know if u really his son cuz your mom was sucking and fuc.king the crew back in da days..lmao...now u grew up to hate black men wit money cuz u know dsts what your mom is looking for..lol..tell her I'll pass up on dat a.ss cuz it got to many miles on it howeva she can give me some slow head...lol..lol..lol..."""
0,"""They have historically been completed unable to get the REAL THREAT off the road so they're going to pick some very low hanging fruit here. Inept lawmakers. Inept politicians. And sheeple for police who are going to LOVE ""enforcing"" this new law. They can't enforce the laws we have now that matter
0,"""My little brother and his friend are running around
0,"""be careful picking it up. For that price it could easily be an Admiral Ackbar."""
0,"""I guess their coverage was IDIOTIC to YOU
0,"""The guys cutting down our tree said they would cut another tree down for a carton of beer. Haha typical tradesmen."""
0,"""are you funny tonight?!!!"""
0,"""Its Black Goo fucked into Space Jockeys that causes xenomorphs. \xa0Thats why they have similar Giger bodies. \xa0 doesnt need to be two crazy coincidences to set up prometheus xenomorphs and alien xenomorphs."""
1,"""cortez u callin niggas soft but u look soft as hell too my nigga"""
0,"""Man I see why you celtics claim to be classy."""
1,"""How does trolling for Obama pay? Pretty well?  What? No pay? You're an idiot
0,"""And you
0,"""Jolie is my qurl. Excited as hell to see this movie. Too bad its 2 years away.. fuck"""
1,"""You are a child."""
0,"""Libero ha per vicedirettore un signore che ha pubblicato l'audio di una telefonata PRIVATA con un parlamentare
1,"""Hang on
1,"""<blockquote>                        Little girl
0,"""I don't watch the brain numbing Eastenders
0,"""\\xc2\\xa0HA HA
0,"""@tlgiguere I remember first seeing mike in board james  and finding out he plaed the joker in the batman reviews  and bugs bunny and all that awesome stuff
1,"""WHAT PART OF GO BACK TOO SCHOOL AND LEARN HOW TO STRING A PROPER LEGABLE SENTANCE TOGETHER DID YOU NOT UNDERSTAND DO YOU NEED A FUCKING DIAGRAM\n\nIt is obviouse your a women as you havent learnt anything go baack to the bottom were you came from until you make sense \n\nJUST A WASTE OF SERVER SPACE SAME AS ALL WOMEN. I DOUBT EVEN HUGE BLACK COCK IN YOUR FILTHY HOLE WOULD SHUT YOU UP MORON."""
0,"""Ok I am sorry but why are these idiots still around. I am white and can't stand the racsit pigs. If you can't stand being around other races and cultres then get lost. If you beat people because of their color they should be shot. Now they want a stretch of road. Yeah just what someone of color needs. To go down that road and be beaten or shot because they are of a different color. I wish I can do the stuff they do and get away with it.."""
1,"""The comments on twitter shows that it was to embarrass Tyler.  If there was not intent of that then why would you do such a stupid idiot move as this?  We are all legally adults by the time we go to college (unless you are  a major genious)
1,"""WHAT THE FUCK SUN!!! WHY ARE YOU NOT POSTING MY COMMENTS!!! ILL TELL YOU WHAT I WONT FUCKING BOTHER WRITING MY OPINIONS THEN!!! ILL JUST FUCKING SAY NICE THINGS ABOUT ALL THESE SYSTEM ABUSING SCUM BAGS SHALL I.............DECENT"""
0,"""Mine too. So I just assume all the time over what it was. \n\nMost of the time
0,"""Joyce should be in RF.... Zobrist should be at 2B.... Rhymes shouldn't be playing."""
0,"""I actually think this is 1 of the most 'sophisticated' outfits i have seen her in lol...  I used to like her years ago but she has went downhill in my opinion and will go as low as possible to get that frozen face in the papers... I would like to know who these 'katie price' fans are that she makes her millions from because certainly no1 i know admits to liking her..."""
1,"""Flagged
1,"""I Made a Joke.....A Joke you did not get.... A pun on color if you will.\nYou need to Relax.  Look at my Pic.  I'm a white guy calling white coaches dumb....If you cant get that
0,"""Here he is explaining how they tried to have him killed for propaganda purposes.\n\nhttps://www.youtube.com/watch?v=NXeXl1SDU8c&feature=plcp"""
0,"""Brown dog:\n\nRemember that you thought that............. while the crowds gather on the streets.......... Greece
0,"""Dude
0,"""sounds like\\xc2\\xa0Venezuela...ah
0,"""Sorry
0,"""Cant wait
0,"""@thebaskett\xa0\nCool. \xa0How the fuck are you and how do you grade the Vikes' draft?"""
0,"""George Stephanopoulos\\n\\nIs the son of a a Greek Orthodox Priest in Cleveland\\n\\nIm sure his father is not very proud of his son becoming a lacky supporting the Obama administration \\n\\nGeorge has been licking the boots of democrats for years \\n\\nI guess the gene pool comes from that great economic power Greece \\nThey are truly economic geniuses\\n\\njail is to good for him\\n"""
0,"""It looks these teabaggers are going to pull out all the stops for 2012
0,"""I want this. But it's not out yet. Been a while since I said that about an iPhone app."""
0,"""72913781 post del thiago\nhttp://profile.ak.fbcdn.net/hprofile-ak-ash2/276507_199950953390996_326587_n.jpg"""
1,"""\\xc2\\xa0You're female
0,"""Keep the money away from Kenny. Over \\xc2\\xa3110 million spent and 7th in the league. ROFL"""
0,"""Mama Manzo is evil and she MUST be stopped! =)"""
